"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2990","Add items of users choice to cart and verify cart list, quantity on cart icon and products with quantity on checkout page","","Mon Sep 29 15:50:40 AEST 2025","passed","Mon Sep 29 15:50:43 AEST 2025","","","",""
"","6713","Successful login with valid credentials","","Mon Sep 29 15:50:31 AEST 2025","broken","Mon Sep 29 15:50:38 AEST 2025","","","",""
"","1921","End to end user flow for placing an order on Swag labs","","Mon Sep 29 15:50:54 AEST 2025","failed","Mon Sep 29 15:50:56 AEST 2025","","","",""
"","1588","Successful login with valid credentials","","Mon Sep 29 15:50:38 AEST 2025","passed","Mon Sep 29 15:50:40 AEST 2025","","","",""
"","2087","End to end user flow for placing an order on Swag labs","","Mon Sep 29 15:50:56 AEST 2025","passed","Mon Sep 29 15:50:58 AEST 2025","","","",""
"","1954","End to end user flow for placing an order on Swag labs","","Mon Sep 29 15:50:50 AEST 2025","passed","Mon Sep 29 15:50:52 AEST 2025","","","",""
"","1955","End to end user flow for placing an order on Swag labs","","Mon Sep 29 15:50:48 AEST 2025","failed","Mon Sep 29 15:50:50 AEST 2025","","","",""
"","1527","Sorting items by price in both orders","","Mon Sep 29 15:50:44 AEST 2025","passed","Mon Sep 29 15:50:46 AEST 2025","","","",""
"","1814","Sorting items by name in both orders","","Mon Sep 29 15:50:43 AEST 2025","passed","Mon Sep 29 15:50:44 AEST 2025","","","",""
"","1740","Unsuccessful login with invalid credentials","","Mon Sep 29 15:50:23 AEST 2025","passed","Mon Sep 29 15:50:25 AEST 2025","","","",""
